;Country Code;City;Location;Coordinates;Pollutant;Source Name;Unit;Value;Last Updated;Country Label
5784;BR;São Paulo;Marg.Tietê-Pte Remédios;-23.51870583,-46.74332004;SO2;Sao Paulo CETESB;µg/m³;3.0;2021-08-06T08:00:00+02:00;Brazil
5786;BR;São Caetano do Sul;São Caetano do Sul;-23.61844277,-46.55635394;PM10;Sao Paulo CETESB;µg/m³;31.0;2021-08-06T14:00:00+02:00;Brazil
5787;BR;Ribeirão Preto;Ribeirão Preto;-21.15394189,-47.82848053;O3;Sao Paulo CETESB;µg/m³;44.0;2021-08-06T12:00:00+02:00;Brazil
5788;CH;Vaud;CH0002R;46.8130974472,6.9444802028;O3;EEA Switzerland;µg/m³;76.0144;2021-08-06T13:00:00+02:00;Switzerland
5789;CL;La Florida;La Florida;-33.5166303623,-70.588123962;O3;Chile - SINCA;µg/m³;0.8;2021-08-06T08:00:00+02:00;Chile
5790;CL;Hualqui;Hualqui;-36.9774314878,-72.9320177133;O3;Chile - SINCA;µg/m³;2.42;2021-08-06T13:00:00+02:00;Chile
5791;CZ;Moravskoslezský;CZ0TOPR;49.8562583923,18.2697410583;PM10;EEA Czech Republic;µg/m³;23.0;2021-08-06T11:00:00+02:00;Czech Republic
5792;CZ;Jihomoravský;CZ0BBNV;49.1980895996,16.5936431885;NO2;EEA Czech Republic;µg/m³;28.7;2021-08-06T11:00:00+02:00;Czech Republic
5793;CZ;Vysočina;CZ0JKOS;49.5733947754,15.0802783966;CO;EEA Czech Republic;µg/m³;233.00001;2021-08-06T11:00:00+02:00;Czech Republic
5794;GB;Bristol;Bristol St Paul's;51.462839,-2.584482;NO2;DEFRA;µg/m³;3.0;2021-08-06T13:00:00+02:00;United Kingdom
5795;GB;Exeter;Exeter Roadside;50.725083,-3.532465;O3;DEFRA;µg/m³;40.0;2021-08-06T13:00:00+02:00;United Kingdom
5796;GB;Stockbridge;Chilbolton Observatory;51.149617,-1.438228;SO2;DEFRA;µg/m³;5.0;2021-08-06T13:00:00+02:00;United Kingdom
5797;GB;Leeds;Leeds Centre;53.80378,-1.546472;PM10;DEFRA;µg/m³;21.0;2021-08-06T13:00:00+02:00;United Kingdom
5798;GB;South West;Christchurch Barrack Road;50.735454,-1.780888;NO2;DEFRA;µg/m³;3.0;2021-08-06T13:00:00+02:00;United Kingdom
5799;GB;Hackney;Hackney - Old Street;51.526454,-0.08491;NO2;London Air Quality Network;µg/m³;21.7;2021-08-06T13:00:00+02:00;United Kingdom
5800;GB;Richmond;Richmond Upon Thames - Castelnau;51.480189,-0.237335;PM10;London Air Quality Network;µg/m³;4.3;2021-08-06T11:00:00+02:00;United Kingdom
5801;GB;Wealden;Wealden - Isfield;50.938397,0.060765;O3;London Air Quality Network;µg/m³;63.3;2021-08-06T12:00:00+02:00;United Kingdom
5802;GB;Southend On Sea;Southend-on-Sea AURN;51.5435262816,0.674668595612;O3;London Air Quality Network;µg/m³;43.9;2021-08-06T11:00:00+02:00;United Kingdom
5803;GB;Richmond;Richmond Upon Thames - Barnes Wetlands;51.476168,-0.230427;O3;London Air Quality Network;µg/m³;42.2;2021-08-06T11:00:00+02:00;United Kingdom
5804;GB;City of London;City of London - The Aldgate School;51.5138471784,-0.077765681752;PM2.5;London Air Quality Network;µg/m³;5.0;2021-08-06T08:00:00+02:00;United Kingdom
