;Country Code;City;Location;Coordinates;Pollutant;Source Name;Unit;Value;Last Updated;Country Label
4874;NL;Rotterdam Noord;Rotterdam Noord -Statenweg;;PM10;Netherlands;µg/m³;-999.0;2021-08-06T04:00:00+02:00;Netherlands
4915;CN;贵阳市;太慈桥;26.5424,106.674;CO;ChinaAQIData;µg/m³;800.0;2021-08-06T13:00:00+02:00;China
5021;CN;葫芦岛市;新区;40.7073,120.8341;CO;ChinaAQIData;µg/m³;2000.0;2021-08-06T13:00:00+02:00;China
5030;CN;七台河市;新一中(对照点);45.8751,131.0518;CO;ChinaAQIData;µg/m³;800.0;2021-08-06T13:00:00+02:00;China
5050;CN;德州市;开发区人民医院;37.4403,116.3728;CO;ChinaAQIData;µg/m³;900.0;2021-08-06T13:00:00+02:00;China
5061;NL;Rotterdam Zuid;Rotterdam Zuid-Pleinweg;51.8911,4.48069;PM2.5;Netherlands;µg/m³;-999.0;2021-08-06T04:00:00+02:00;Netherlands
5080;ES;Castellón/Castelló;ES1689A;40.0541666595,-0.46833333;CO;EEA Spain;µg/m³;900.0;2021-08-06T11:00:00+02:00;Spain
5120;CN;凉山彝族自治州;长安;27.8914,102.237;CO;ChinaAQIData;µg/m³;900.0;2021-08-06T13:00:00+02:00;China
5122;CN;佛山市;顺德苏岗;22.8094,113.2881;CO;ChinaAQIData;µg/m³;900.0;2021-08-06T13:00:00+02:00;China
5127;CN;克拉玛依市;乌尔禾区商贸楼;46.098,85.6979;CO;ChinaAQIData;µg/m³;1100.0;2021-08-06T13:00:00+02:00;China
5329;CN;兴安盟;科右前旗环保局;46.0741,121.9504;CO;ChinaAQIData;µg/m³;1000.0;2021-08-06T13:00:00+02:00;China
5342;CN;贵港市;贵城子站;23.0948,109.6014;CO;ChinaAQIData;µg/m³;900.0;2021-08-06T13:00:00+02:00;China
5349;CN;淄博市;三金集团;36.805,117.8661;CO;ChinaAQIData;µg/m³;800.0;2021-08-06T13:00:00+02:00;China
5474;NL;Ridderkerk;Ridderkerk-Hogeweg;51.8694,4.58006;PM2.5;Netherlands;µg/m³;-999.0;2021-08-06T04:00:00+02:00;Netherlands
5493;CL;La Florida;La Florida;-33.5166303623,-70.588123962;CO;Chile - SINCA;µg/m³;1751.54;2021-08-06T14:00:00+02:00;Chile
5537;CL;Puente Alto;Puente Alto;-33.591390623,-70.594788;CO;Chile - SINCA;µg/m³;1991.95;2021-08-06T14:00:00+02:00;Chile
5597;CN;沈阳市;森林路(对照点);41.9339,123.6836;CO;ChinaAQIData;µg/m³;900.0;2021-08-06T13:00:00+02:00;China
5605;CN;柳州市;环保监测站;24.3277,109.4157;CO;ChinaAQIData;µg/m³;800.0;2021-08-06T13:00:00+02:00;China
5608;CN;南昌市;省外办;28.6843,115.8931;CO;ChinaAQIData;µg/m³;900.0;2021-08-06T13:00:00+02:00;China
5609;CN;湘潭市;科大;27.9119,112.9074;CO;ChinaAQIData;µg/m³;1000.0;2021-08-06T13:00:00+02:00;China
5610;CN;中山市;紫马岭;22.5111,113.4075;CO;ChinaAQIData;µg/m³;900.0;2021-08-06T13:00:00+02:00;China
5823;CN;深圳市;横岗;22.6451,114.1871;CO;ChinaAQIData;µg/m³;1000.0;2021-08-06T13:00:00+02:00;China
5856;MK;Ilinden Municipality;MK0045A;41.9874399995,21.6525;CO;EEA Macedonia;µg/m³;869.99304;2021-08-06T02:00:00+02:00;Macedonia, The former Yugoslav Rep. of
5865;NL;Maassluis;Maassluis-Kwartellaan;51.932,4.22802;NO2;Netherlands;µg/m³;-999.0;2021-08-06T04:00:00+02:00;Netherlands
6012;CN;芜湖市;监测站;31.3519,118.3606;CO;ChinaAQIData;µg/m³;800.0;2021-08-06T13:00:00+02:00;China
6024;CN;汉中市;市监测站;33.0706,107.0154;CO;ChinaAQIData;µg/m³;800.0;2021-08-06T13:00:00+02:00;China
6044;IT;Milano;IT0477A;45.495556,9.191389;CO;EEA Italy;µg/m³;1830.69;2021-08-06T13:00:00+02:00;Italy
6050;IT;Genova;IT1887A;44.413889,8.911944;CO;EEA Italy;µg/m³;1410.0;2021-08-06T10:00:00+02:00;Italy
6263;CN;长治市;潞城四中;36.3489,113.235;CO;ChinaAQIData;µg/m³;2100.0;2021-08-06T13:00:00+02:00;China
6275;CL;Talcahuano;Nueva Libertad;-36.735998,-73.118693;CO;Chile - SINCA;µg/m³;2837.96;2021-08-06T14:00:00+02:00;Chile
